Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Sweden,Post-grad,15,3,Other,499.0,25.0,55224.0
Canada,No bachelors,11,6,Front-end Developer,19.0,25.0,68068.0
United States of America,Bachelors,8,4,Front-end Developer,499.0,18.0,74000.0
India,Bachelors,12,5,Data Scientist or ML Engr.,499.0,25.0,217800.0
Netherlands,Post-grad,30,14,Other,9999.0,35.0,118908.0
United States of America,No bachelors,18,1,Front-end Developer,499.0,25.0,40000.0
Canada,Bachelors,15,8,Front-end Developer,99.0,25.0,71850.0
Canada,Bachelors,21,14,Front-end Developer,99.0,35.0,66934.0
Other,No bachelors,8,3,Other,9999.0,25.0,54216.0
Other,Bachelors,6,1,Front-end Developer,499.0,18.0,19860.0
United States of America,No bachelors,16,7,Other,499.0,25.0,63385.0
Switzerland,No bachelors,6,1,Full-stack Developer,499.0,18.0,54888.0
United States of America,No bachelors,25,20,Front-end Developer,499.0,55.0,108000.0
Germany,No bachelors,8,7,Front-end Developer,19.0,25.0,58373.0
Russian Federation,No bachelors,27,20,Front-end Developer,499.0,35.0,56616.0
Other,Post-grad,13,9,Front-end Developer,499.0,25.0,45401.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,25,24,Front-end Developer,99.0,45.0,55582.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,42,27,Front-end Developer,19.0,45.0,71093.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,30,21,Front-end Developer,19.0,35.0,60752.0
Other,No bachelors,9,4,Front-end Developer,499.0,25.0,25944.0
Other,Bachelors,26,16,Front-end Developer,9999.0,35.0,179858.0
Poland,No bachelors,26,20,Front-end Developer,499.0,35.0,30372.0
Other,No bachelors,15,6,Academic Researcher,4999.0,25.0,29832.0
Other,Bachelors,10,6,Full-stack Developer,499.0,25.0,40020.0
United States of America,Post-grad,20,6,Data Scientist or ML Engr.,499.0,35.0,90000.0
United States of America,Bachelors,12,3,Front-end Developer,99.0,18.0,67000.0
India,Bachelors,12,4,Front-end Developer,499.0,25.0,21676.0
Switzerland,No bachelors,25,16,Front-end Developer,19.0,35.0,101649.0
Other,No bachelors,6,4,Front-end Developer,4999.0,25.0,17352.0
United States of America,No bachelors,25,16,Front-end Developer,499.0,35.0,195000.0
Other,No bachelors,8,7,Front-end Developer,99.0,25.0,34380.0
United Kingdom of Great Britain and Northern Ireland,Post-grad,35,23,Engineering Manager,499.0,45.0,155111.0
Other,No bachelors,16,4,Full-stack Developer,99.0,25.0,64860.0
France,Bachelors,14,12,Full-stack Developer,4999.0,35.0,123228.0
Russian Federation,No bachelors,15,1,Other,99.0,25.0,28308.0
United States of America,No bachelors,40,35,Front-end Developer,9999.0,55.0,280000.0
France,No bachelors,3,3,Front-end Developer,99.0,25.0,48644.0
Sweden,Bachelors,12,5,Front-end Developer,4999.0,25.0,54769.0
Poland,Bachelors,7,5,Front-end Developer,499.0,25.0,45564.0
Other,Bachelors,9,7,Front-end Developer,499.0,25.0,25428.0
United States of America,No bachelors,20,12,Academic Researcher,9999.0,25.0,29000.0
