Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Sweden,Bachelors,30,12,Full-stack Developer,99.0,35.0,54372.0
Sweden,No bachelors,40,37,Front-end Developer,99.0,55.0,79776.0
Sweden,Bachelors,21,9,Front-end Developer,499.0,25.0,56460.0
Sweden,Bachelors,7,4,Front-end Developer,4999.0,25.0,56460.0
Sweden,No bachelors,3,1,Full-stack Developer,4999.0,35.0,38592.0
Sweden,No bachelors,27,14,Front-end Developer,4999.0,35.0,61980.0
Sweden,No bachelors,20,9,Other,4999.0,25.0,79776.0
Sweden,No bachelors,25,16,Full-stack Developer,99.0,35.0,73644.0
Sweden,No bachelors,11,4,Full-stack Developer,99.0,18.0,40500.0
Sweden,Bachelors,14,10,Software QA,4999.0,25.0,55229.0
Sweden,No bachelors,10,9,Other,4999.0,35.0,92052.0
Sweden,Post-grad,14,6,Academic Researcher,99.0,25.0,52776.0
Sweden,No bachelors,7,4,Other,19.0,25.0,61368.0
Sweden,No bachelors,20,17,Front-end Developer,499.0,35.0,63816.0
Sweden,No bachelors,4,3,Other,499.0,25.0,43572.0
Sweden,Bachelors,10,4,Front-end Developer,19.0,25.0,81821.0
Sweden,No bachelors,21,13,Front-end Developer,4999.0,25.0,83460.0
Sweden,No bachelors,11,3,Front-end Developer,499.0,18.0,66276.0
Sweden,No bachelors,16,9,Front-end Developer,19.0,35.0,66888.0
Sweden,Bachelors,9,3,Front-end Developer,19.0,25.0,54912.0
Sweden,Post-grad,15,10,Front-end Developer,4999.0,35.0,61368.0
Sweden,No bachelors,26,16,Software QA,99.0,35.0,61368.0
Sweden,Bachelors,14,5,Front-end Developer,19.0,25.0,59520.0
Sweden,Bachelors,14,8,Front-end Developer,99.0,35.0,54000.0
Sweden,No bachelors,2,1,Front-end Developer,99.0,25.0,40910.0
Sweden,No bachelors,9,4,Front-end Developer,99.0,25.0,52776.0
Sweden,No bachelors,36,27,Front-end Developer,4999.0,45.0,67500.0
Sweden,No bachelors,20,11,SRE or Devops,99.0,25.0,82236.0
Sweden,No bachelors,20,10,Front-end Developer,19.0,35.0,50316.0
Sweden,No bachelors,25,18,Front-end Developer,99.0,35.0,58911.0
Sweden,Bachelors,17,10,Front-end Developer,4999.0,25.0,61366.0
Sweden,No bachelors,9,5,Other,19.0,25.0,47868.0
Sweden,Bachelors,5,3,Front-end Developer,4999.0,18.0,57684.0
Sweden,Bachelors,16,11,Front-end Developer,499.0,25.0,67605.0
Sweden,No bachelors,28,12,Full-stack Developer,499.0,35.0,75600.0
Sweden,No bachelors,27,16,Front-end Developer,19.0,35.0,73644.0
Sweden,Bachelors,15,6,Front-end Developer,99.0,25.0,50316.0
Sweden,No bachelors,20,14,Full-stack Developer,99.0,35.0,61366.0
Sweden,Bachelors,18,15,Full-stack Developer,499.0,35.0,108000.0
Sweden,No bachelors,24,15,Front-end Developer,99.0,35.0,58548.0
Sweden,Bachelors,18,15,Front-end Developer,1.0,35.0,79776.0
Sweden,Bachelors,8,5,Front-end Developer,99.0,25.0,49092.0
Sweden,No bachelors,10,7,Front-end Developer,4999.0,25.0,73644.0
Sweden,Bachelors,25,21,Full-stack Developer,99.0,35.0,61368.0
Sweden,No bachelors,17,4,Front-end Developer,499.0,25.0,55224.0
Sweden,No bachelors,26,10,Front-end Developer,99.0,35.0,73644.0
Sweden,No bachelors,25,20,Front-end Developer,19.0,35.0,88368.0
Sweden,No bachelors,25,12,Other,99.0,35.0,71796.0
Sweden,Bachelors,35,30,Front-end Developer,19.0,55.0,83460.0
Sweden,Bachelors,9,3,Front-end Developer,4999.0,25.0,44184.0
Sweden,No bachelors,10,4,Front-end Developer,99.0,25.0,56460.0
Sweden,No bachelors,21,5,Front-end Developer,4999.0,35.0,42960.0
Sweden,No bachelors,26,21,Other,499.0,45.0,73644.0
Sweden,No bachelors,2,0,Front-end Developer,99.0,35.0,38052.0
Sweden,No bachelors,17,10,Front-end Developer,99.0,25.0,59028.0
Sweden,No bachelors,45,23,Other,4999.0,45.0,61368.0
Sweden,No bachelors,37,6,Front-end Developer,499.0,35.0,52776.0
Sweden,No bachelors,40,21,Other,4999.0,45.0,61368.0
Sweden,Bachelors,7,3,Front-end Developer,99.0,25.0,33756.0
Sweden,No bachelors,3,1,Front-end Developer,19.0,25.0,52776.0
Sweden,No bachelors,19,12,Full-stack Developer,99.0,35.0,67500.0
Sweden,Bachelors,25,20,Full-stack Developer,99.0,45.0,98184.0
Sweden,No bachelors,22,15,Front-end Developer,19.0,35.0,65664.0
Sweden,No bachelors,26,20,Front-end Developer,499.0,35.0,58908.0
Sweden,Bachelors,19,16,Full-stack Developer,99.0,35.0,73644.0
Sweden,No bachelors,9,4,Other,9999.0,25.0,45408.0
Sweden,Bachelors,13,8,Front-end Developer,99.0,25.0,40910.0
Sweden,Bachelors,17,13,Front-end Developer,99.0,35.0,55224.0
Sweden,Bachelors,8,5,Full-stack Developer,99.0,25.0,42960.0
Sweden,No bachelors,12,10,Front-end Developer,99.0,25.0,50316.0
Sweden,No bachelors,12,8,Front-end Developer,4999.0,25.0,55224.0
Sweden,Bachelors,21,14,Front-end Developer,4999.0,35.0,76707.0
Sweden,Bachelors,30,10,Full-stack Developer,99.0,35.0,72408.0
Sweden,No bachelors,14,9,Front-end Developer,99.0,35.0,63816.0
Sweden,No bachelors,20,8,Front-end Developer,99.0,25.0,74868.0
Sweden,No bachelors,21,12,Other,4999.0,35.0,98184.0
Sweden,Bachelors,15,10,Front-end Developer,499.0,25.0,52776.0
Sweden,Bachelors,3,2,Front-end Developer,19.0,25.0,40808.0
Sweden,Bachelors,6,3,Full-stack Developer,499.0,25.0,46632.0
Sweden,No bachelors,41,28,Front-end Developer,99.0,55.0,70572.0
Sweden,Bachelors,15,9,Full-stack Developer,4999.0,35.0,48480.0
